precipitacao;year;qt_estacoes_clima
5866.4;2017;42
5525.0;2017;42
6100.2;2017;42
8108.6;2017;42
11776.4;2017;42
5062.0;2017;42
899.6;2017;42
6132.8;2017;42
5572.0;2017;42
9266.6;2017;42
5175.4;2017;42
4160.0;2017;42
3554.2;2016;42
4066.2;2016;42
7094.4;2016;42
7445.6;2016;42
2516.2;2016;42
768.4;2016;42
4302.8;2016;42
4652.6;2016;42
2391.2;2016;42
9883.2;2016;42
5052.4;2016;42
6149.8;2016;42
6428.6;2014;38
6636.2;2014;38
6796.0;2014;38
4111.2;2014;38
4908.4;2014;38
6658.2;2014;38
4731.4;2014;38
2979.0;2014;38
8057.4;2014;38
5987.0;2014;38
3569.4;2014;38
7644.0;2014;38
7161.2;2015;38
3942.2;2015;38
2638.4;2015;38
3059.4;2015;38
4792.4;2015;38
4908.4;2015;38
7400.8;2015;38
2918.8;2015;38
5532.2;2015;38
9491.8;2015;38
5674.8;2015;38
10341.8;2015;38
4525.2;2011;35
6084.0;2011;35
4640.0;2011;35
4579.8;2011;35
2520.2;2011;35
5007.2;2011;35
6241.6;2011;35
5196.6;2011;35
2797.0;2011;35
5314.8;2011;35
2003.0;2011;35
2316.4;2011;35
7061.0;2010;35
6303.4;2010;35
3043.2;2010;35
4221.8;2010;35
4987.2;2010;35
3336.6;2010;35
7250.8;2010;35
1419.0;2010;35
6377.6;2010;35
2389.2;2010;35
2529.4;2010;35
4662.8;2010;35
2682.2;2012;37
3418.4;2012;37
1425.6;2012;37
2847.4;2012;37
1094.0;2012;37
2989.0;2012;37
4995.2;2012;37
2542.0;2012;37
5082.8;2012;37
7230.4;2012;37
2014.4;2012;37
8362.2;2012;37
4149.8;2013;38
5437.8;2013;38
5436.2;2013;38
4384.6;2013;38
3943.2;2013;38
3546.2000000000003;2013;38
2910.2;2013;38
7091.6;2013;38
4899.0;2013;38
5726.6;2013;38
6841.2;2013;38
3738.8;2013;38
3061.0;2023;45
3926.8;2023;45
5333.4;2023;45
2122.0;2023;45
6804.2;2023;45
5124.8;2023;45
6959.6;2023;45
3280.8;2023;45
17467.0;2023;45
11192.0;2023;45
12954.0;2023;45
7767.2;2023;45
4882.0;2009;34
5108.4;2009;34
2874.8;2009;34
682.2;2009;34
4259.6;2009;34
2226.2;2009;34
3086.0;2009;34
5770.8;2009;34
9472.2;2009;34
3878.0;2009;34
12812.6;2009;34
5559.6;2009;34
7748.2;2021;44
4163.2;2021;44
5238.2;2021;44
1616.2;2021;44
5444.4;2021;44
5480.0;2021;44
1294.8;2021;44
3076.6;2021;44
6346.0;2021;44
3930.6;2021;44
2339.0;2021;44
1662.0;2021;44
6175.2;2020;44
2815.6;2020;44
1452.4;2020;44
1973.2;2020;44
6424.8;2020;44
7646.8;2020;44
6641.4;2020;44
3196.0;2020;44
5232.2;2020;44
2469.4;2020;44
2611.6;2020;44
3855.8;2020;44
5646.8;2024;44
5092.6;2024;44
6629.8;2024;44
12054.8;2024;44
15924.8;2024;44
7915.4;2024;44
2483.4;2024;44
5160.2;2024;44
7231.4;2024;44
6380.2;2024;44
3950.0;2024;44
6014.6;2024;44
6684.6;2018;43
3221.2;2018;43
6457.4;2018;43
3474.0;2018;43
4574.0;2018;43
4917.2;2018;43
6018.0;2018;43
5657.0;2018;43
7434.8;2018;43
6385.4;2018;43
7293.4;2018;43
5207.4;2018;43
10280.2;2019;44
4571.4;2019;44
5158.0;2019;44
5981.2;2019;44
8658.6;2019;44
2040.2;2019;44
5742.0;2019;44
3544.2;2019;44
3235.4;2019;44
11955.6;2019;44
5579.4;2019;44
2873.2;2019;44
